SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
CANCELADA,09.295.979/0001-47,IRONX MINERAÇÃO S/A,RIO DE JANEIRO,2.221e+07,21458,2008-04-24 00:00:00,2008-12-19 00:00:00,Metalurgia e Siderurgia,PRIVADO HOLDING,SEDE,RJ
CANCELADA,15.121.064/0001-18,IRPESA SA IND METALURGICA,SALVADOR,4.378e+07,7668,1981-12-14 00:00:00,2005-03-22 00:00:00,Metalurgia e Siderurgia,PRIVADO,SEDE,BA
CANCELADA,08.075.006/0001-30,ISA CAPITAL DO BRASIL SA,SÃO PAULO,4.546e+06,20427,2007-01-04 00:00:00,2010-05-28 00:00:00,Emp. Adm. Part. - Energia Elétrica,ESTRANGEIRO HOLDING,SEDE,SP
ATIVO,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,SÃO PAULO,4.794e+06,18376,1999-07-14 00:00:00,1999-07-14 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP
ATIVO,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,SÃO PAULO,4.794e+06,18376,1999-07-14 00:00:00,1999-07-14 00:00:00,Energia Elétrica,PRIVADO HOLDING,SEDE,SP
CANCELADA,13.407.617/0001-78,ISOLUX INFRASTRUCTURE SA,SÃO PAULO,1.31e+06,22624,2011-12-09 00:00:00,2012-03-29 00:00:00,Energia Elétrica,ESTRANGEIRO,SEDE,SP
CANCELADA,01.355.994/0001-21,ITA ENERGETICA S/A,SÃO PAULO,1.41591e+06,18910,2001-03-21 00:00:00,2012-12-26 00:00:00,Energia Elétrica,PRIVADO,SEDE,SP
CANCELADA,00.987.716/0001-24,ITABAPOANA PARTICIPACOES SA,SÃO PAULO,1.45102e+06,15601,1996-06-17 00:00:00,1998-07-14 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,SP
CANCELADA,27.184.951/0001-14,ITAGUASSU AGRO INDUSTRIAL S/A,NOSSA SENHORA DO SOCORRO,4.916e+07,7692,1982-12-30 00:00:00,1999-08-18 00:00:00,Extração Mineral,PRIVADO,SEDE,SE
CANCELADA,01.258.943/0001-81,ITAITINGA PARTICIPACOES SA,SÃO PAULO,1.405e+06,15865,1996-11-07 00:00:00,2019-08-19 00:00:00,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,SEDE,SP
