SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
ATIVO,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,RIO DE JANEIRO,01.547.749/0001-16,Emp. Adm. Part. - Energia Elétrica,PRIVADO,RJ
ATIVO,INVESTIMENTOS BEMGE S.A.,SÃO PAULO,01.548.981/0001-79,Bancos,PRIVADO,SP
CANCELADA,BAHIA TRUST DE RECEBIVEIS,SÃO CAETANO DO SUL,01.554.970/0001-00,Serviços Diversos,PRIVADO,SP
CANCELADA,MASSA FALIDA DA ENCOL SA ENG COM E INDUSTRIA,BRASÍLIA,01.556.141/0001-58,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,DF
CANCELADA,SUL LOGISTICA SA,RIO DE JANEIRO,01.585.482/0001-51,Emp. Adm. Participações,ESTRANGEIRO,RJ
CANCELADA,CIA PAULISTA DE ADM DE ATIVOS,SÃO PAULO,01.596.401/0001-19,Emp. Adm. Participações,ESTATAL,SP
CANCELADA,INFOVIAS PNSC SA,SÃO PAULO,01.596.910/0001-41,Emp. Adm. Participações,PRIVADO,SP
ATIVO,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,BARUERI,01.599.101/0001-93,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,MARINGA PARK SA,CURITIBA,01.603.908/0001-52,Crédito Imobiliário,PRIVADO,PR
CANCELADA,BELAPART SA,RIO DE JANEIRO,01.608.571/0001-76,Emp. Adm. Part. - Crédito Imobiliário,PRIVADO HOLDING,RJ
ATIVO,SANEAMENTO DE GOIAS SA,GOIÂNIA,01.616.929/0001-02,"Saneamento, Serv. Água e Gás",ESTATAL,GO
CANCELADA,SOCIEDADE PART CIMENTEIRAS SA,SÃO PAULO,01.624.528/0001-02,"Construção Civil, Mat. Constr. e Decoração",ESTRANGEIRO,SP
ATIVO,VOTORANTIM CIMENTOS S.A.,SÃO PAULO,01.637.895/0001-32,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,CONCES DA ROD OSÓRIO-POA S/A - CONCEPA,PORTO ALEGRE,01.654.604/0001-14,Serviços Transporte e Logística,PRIVADO,RS
CANCELADA,TELET SA,PORTO ALEGRE,01.655.694/0001-68,Telecomunicações,PRIVADO,RS
CANCELADA,CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A,GOIÂNIA,01.672.223/0001-68,Energia Elétrica,ESTRANGEIRO HOLDING,GO
CANCELADA,AMERICEL SA,BRASÍLIA,01.685.903/0001-16,Telecomunicações,PRIVADO,DF
CANCELADA,METRO EXTENSAO NORTE TRUST SA,SÃO PAULO,01.709.614/0001-00,Serviços Diversos,PRIVADO,SP
CANCELADA,ELETRON PNSC SA,SÃO PAULO,01.729.228/0001-80,Emp. Adm. Participações,ESTRANGEIRO,SP
CANCELADA,VALETRON SA,RIO DE JANEIRO,01.772.313/0001-20,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
CANCELADA,VEGA ENGENHARIA AMBIENTAL SA,SÃO PAULO,01.832.326/0001-48,Serviços em Geral,ESTRANGEIRO,SP
CANCELADA,TAM S.A.,SÃO PAULO,01.832.635/0001-18,Serviços Transporte e Logística,PRIVADO,SP
